14:30 24/11/2021,GVR,37.5,40.1,34.9,37.95,37,2735.7,37.05
14:30 24/11/2021,APG,26.35,28.15,24.55,27.5,26.9,2612.2,27.15
14:29 24/11/2021,SJF,19.75,21.1,18.4,21.1,20.5,2561,21.1
14:29 24/11/2021,KDC,59.9,64,55.8,60,59.4,2525.7,59.7
14:30 24/11/2021,HT1,25,26.75,23.25,25.9,25,2434.4,25.05
14:30 24/11/2021,FPT,96.6,103.3,89.9,98.4,96.4,2323.9,97.5
14:30 24/11/2021,QCG,11.2,11.95,10.45,11.75,10.65,2299.5,10.75
14:30 24/11/2021,GMD,51,54.5,47.45,51.4,50.6,2295.6,51.1
14:30 24/11/2021,TVB,29.5,31.55,27.45,30.7,29.5,2241.4,29.6
14:30 24/11/2021,QBS,6.27,6.7,5.84,6.44,5.9,2219.6,6.2
14:29 24/11/2021,PLX,57,60.9,53.1,58.3,56.6,2200.5,57.1
14:30 24/11/2021,VCG,46.3,49.5,43.1,46.8,45.7,2175.8,45.8
14:30 24/11/2021,PET,30.7,32.8,28.6,31.4,29.9,2140.4,30
14:30 24/11/2021,CKG,34.75,37.15,32.35,35.4,34.2,2029.8,34.45
14:30 24/11/2021,DRC,34.4,36.8,32,34.95,33.9,1992.8,33.9
14:30 24/11/2021,VNM,86.3,92.3,80.3,87.4,86.5,1940.7,87.3
14:30 24/11/2021,CTS,44.5,47.6,41.4,45.45,44,1938.3,44.95
14:29 24/11/2021,VIC,94.8,101.4,88.2,95.2,93.5,1914.2,94.6
14:30 24/11/2021,LSS,17.8,19,16.6,18.15,17.2,1888.7,17.7
14:29 24/11/2021,HAR,10.15,10.85,9.44,10.25,9.78,1874.5,9.9
14:30 24/11/2021,TLH,20.2,21.6,18.8,20.3,19.5,1856.4,19.8
14:25 24/11/2021,IDI,19.9,21.25,18.55,21.25,21.25,1854.5,21.25
14:30 24/11/2021,VCB,99.1,106,92.2,105.6,99.2,1831.7,105.2
14:30 24/11/2021,OGC,8.55,9.14,7.96,8.79,8.25,1805.7,8.3
14:45 24/11/2021,STB,28.5,30.45,26.55,30.45,28.35,67319.9,30.45
14:45 24/11/2021,TCB,52.6,56.2,48.95,55.7,52.3,52375.3,55.5
14:45 24/11/2021,LPB,23.05,24.65,21.45,24.5,22.9,44928.6,24.5
14:45 24/11/2021,MBB,28.9,30.9,26.9,30.9,28.75,43004.8,30.9
14:45 24/11/2021,VPB,36.25,38.75,33.75,37.6,35.9,35983.8,37.3
14:45 24/11/2021,HPG,49.55,53,46.1,49.7,48.5,27126.8,48.65
14:45 24/11/2021,SHB,23.8,25.45,22.15,25,23.75,26119.1,24.95
14:45 24/11/2021,CTG,34.1,36.45,31.75,35.4,34.05,25476.8,35.4
14:45 24/11/2021,SSI,52,55.6,48.4,54.4,52.7,23397.2,53.2
14:45 24/11/2021,FLC,14.7,15.7,13.7,15.4,14.7,22726,14.8
14:45 24/11/2021,ITA,11.2,11.95,10.45,11.6,10.9,18482.5,10.95
14:45 24/11/2021,MSB,26.45,28.3,24.6,28.2,26.25,18292.5,28.2
14:45 24/11/2021,OCB,28,29.95,26.05,29.95,28,17815.1,29.95
14:45 24/11/2021,HAG,7.15,7.65,6.65,7.59,7,17658.1,7.06
14:45 24/11/2021,GEX,44.15,47.2,41.1,46,43,17643.7,44.5
14:45 24/11/2021,TTF,10.75,11.5,10,11.5,11.15,15516.6,11.5
14:45 24/11/2021,DLG,6.92,7.4,6.44,7.1,6.47,14911.7,6.71
14:45 24/11/2021,ROS,6.84,7.31,6.37,7.1,6.79,14396.9,6.79
14:45 24/11/2021,ACB,33.95,36.3,31.6,35.45,33.75,14295.8,35.35
14:45 24/11/2021,HQC,6.1,6.52,5.68,6.35,6.11,14290.1,6.14
14:45 24/11/2021,POW,13.8,14.75,12.85,14,13.5,13961.8,13.6
14:45 24/11/2021,HDB,31.8,34,29.6,33.95,31.85,11827.3,33.5
14:45 24/11/2021,LDG,12.55,13.4,11.7,13.15,11.7,11026.2,11.7
14:45 24/11/2021,DXG,26,27.8,24.2,27,26.2,10919.2,26.65
14:45 24/11/2021,HBC,24.2,25.85,22.55,25.85,25,10510.4,25.65
14:45 24/11/2021,VRE,30.15,32.25,28.05,31.4,30.1,10222.3,31.1
14:45 24/11/2021,HSG,39.1,41.8,36.4,39.15,37.8,9515.6,37.95
14:45 24/11/2021,NKG,43.15,46.15,40.15,43.2,41,9503.4,41
14:45 24/11/2021,PAN,40.85,43.7,38,43.5,41,9436.8,41.55
14:45 24/11/2021,SCR,18.05,19.3,16.8,18.7,17.5,8457.2,17.6
14:45 24/11/2021,TCH,23.5,25.1,21.9,24,22.5,8399.6,22.5
14:45 24/11/2021,VIB,41.9,44.8,39,44.8,41.5,8199.2,44.8
14:45 24/11/2021,TSC,15.6,16.65,14.55,16.2,15.55,8023.4,15.8
14:45 24/11/2021,VIX,33,35.3,30.7,34.7,33,7637.3,33
14:45 24/11/2021,CII,27.25,29.15,25.35,28,26.5,7607.6,26.85
14:45 24/11/2021,VHM,82.5,88.2,76.8,83.7,81.8,7322.4,83.7
14:45 24/11/2021,TPB,48.7,52.1,45.3,49.85,47.7,7302.1,49.1
14:45 24/11/2021,SAM,21,22.45,19.55,22,19.65,7300.3,19.65
14:45 24/11/2021,VCI,75.2,80.4,70,79,76.6,7249.8,77.4
14:45 24/11/2021,KBC,48,51.3,44.65,49.5,48.5,6863.9,48.5
14:45 24/11/2021,AAA,17.1,18.25,15.95,17.35,16.85,6844.4,17
14:45 24/11/2021,FIT,13.75,14.7,12.8,14.35,13.9,6515.6,13.95
14:45 24/11/2021,HCM,46.5,49.75,43.25,48.35,46.9,6463.8,47.3
14:45 24/11/2021,TTA,19.15,20.45,17.85,19.2,17.85,6127.3,18.2
14:45 24/11/2021,VND,80.7,86.3,75.1,82.7,80.1,6121.9,81.4
14:45 24/11/2021,LCG,18.1,19.35,16.85,19.2,18,6079.4,18.9
14:45 24/11/2021,HHS,11,11.75,10.25,11.55,10.9,5880,11
14:45 24/11/2021,SBT,25,26.75,23.25,25.5,24.6,5600.9,24.6
14:45 24/11/2021,HAI,6.55,7,6.1,6.69,6.45,4959.4,6.55
14:45 24/11/2021,HNG,8.27,8.84,7.7,8.5,8.25,4900.2,8.27
14:45 24/11/2021,DBC,70.6,75.5,65.7,75.5,72.7,4824.8,75.5
14:45 24/11/2021,ORS,32,34.2,29.8,33,31.9,4822.3,32.2
14:45 24/11/2021,DIG,61,65.2,56.8,64.5,61,4730.8,63.1
14:45 24/11/2021,PVD,27.6,29.5,25.7,28.5,27.5,4514.8,27.75
14:45 24/11/2021,DCM,37,39.55,34.45,37.4,36.1,4488.5,36.3
